Sample proton lifetime predictions (in years):
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 1.111e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 9.393e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 1.203e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 1.016e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 8.692e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 1.050e+37 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 8.824e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 7.521e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 9.239e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 7.736e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 6.572e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 8.386e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 7.129e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 6.134e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 7.357e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 6.224e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 5.334e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 6.506e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 5.481e+36 years
M_XY: 6.25e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 4.681e+36 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 8.479e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 7.654e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 6.943e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 7.809e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 7.010e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 6.327e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 7.215e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 6.444e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 5.790e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 5.281e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 4.807e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 4.395e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 4.897e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 4.434e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 4.033e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 4.553e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 4.102e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 3.714e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 3.366e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 3.088e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 2.843e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 3.141e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 2.866e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 2.626e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 2.937e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 2.667e+37 years
M_XY: 6.25e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 2.433e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 1.434e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 1.350e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 1.272e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 1.366e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 1.280e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 1.202e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 1.303e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 1.215e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 1.137e+38 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 8.492e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 8.044e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 7.631e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 8.131e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 7.671e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 7.248e+37 years
M_XY: 6.25e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 7.792e+37 years
